First Name,Last Name,Email,Phone,Job Title,Seniority Level,Firm Name,Firm Type,Firm Website,Location,LinkedIn URL,Twitter URL,Personal Website,Bio,Investment Stages,Sector Preferences,Geographic Preferences,Min Check Size (USD),Max Check Size (USD),Portfolio Companies,Notable Investments,Education,Experience,Status,Tags,Notes
Michael,Chen,mchen@a16z.com,+1 (555) 123-4567,Partner,Partner,Andreessen Horowitz,VC,https://a16z.com,"San Francisco, CA",https://linkedin.com/in/michaelchen,https://twitter.com/michaelchen,https://michaelchen.com,"Partner at Andreessen Horowitz focusing on FinTech and enterprise software investments. Former founder of two successful startups with deep technical background.","Series A, Series B, Series C","FinTech, SaaS, AI/ML, Enterprise","North America, Europe",5000000,25000000,"Stripe, Coinbase, Plaid, Robinhood","Stripe Series C, Coinbase Series B, Plaid Series A","Stanford University - MBA, MIT - BS Computer Science","Google - Product Manager (2015-2018), Stripe - Head of Product (2018-2020)",hot,"FinTech, Enterprise, AI, Top Tier","Highly engaged investor with strong track record in FinTech. Responds quickly and provides valuable feedback."
Sarah,Williams,swilliams@sequoiacap.com,+1 (555) 234-5678,Principal,Principal,Sequoia Capital,VC,https://sequoiacap.com,"Menlo Park, CA",https://linkedin.com/in/sarahwilliams,https://twitter.com/sarahwilliams,,"Principal at Sequoia Capital with expertise in healthcare technology and biotech investments. PhD in Bioengineering from Stanford University.","Series B, Series C, Growth","HealthTech, Biotech, AI/ML, Life Sciences","North America, Europe",10000000,50000000,"23andMe, Moderna, Recursion, Guardant Health","23andMe Series D, Moderna Series C, Recursion Series B","Stanford University - PhD Bioengineering, Harvard - BS Biology","McKinsey & Company - Consultant (2012-2016), Genentech - Strategy (2016-2019)",warm,"HealthTech, Biotech, Science","Strong background in healthcare. Prefers detailed scientific data and clinical validation."
Emily,Park,epark@gv.com,+1 (555) 456-7890,Investment Partner,Partner,GV (Google Ventures),Corporate VC,https://gv.com,"Mountain View, CA",https://linkedin.com/in/emilypark,https://twitter.com/emilypark,https://emilypark.com,"Investment Partner at GV focusing on AI/ML and enterprise software. Former product manager at Google with deep technical background in machine learning.","Seed, Series A, Series B","AI/ML, Enterprise, Consumer, Developer Tools","North America, Asia Pacific",1000000,10000000,"Uber, Nest, Slack, GitLab","Uber Series B, Nest Series A, Slack Series C","Stanford University - MS Computer Science, UC Berkeley - BS EECS","Google - Senior Product Manager (2014-2019), DeepMind - Research Scientist (2012-2014)",hot,"AI/ML, Google, Enterprise, Technical","Highly technical investor with strong AI/ML background. Values technical depth and scalability."
Lisa,Zhang,lzhang@indexventures.com,+1 (555) 567-8901,General Partner,Partner,Index Ventures,VC,https://indexventures.com,"San Francisco, CA",https://linkedin.com/in/lisazhang,https://twitter.com/lisazhang,,"General Partner at Index Ventures specializing in SaaS and developer tools. Former CTO with extensive experience in scaling technology companies.","Series A, Series B, Growth","SaaS, Developer Tools, Infrastructure, Enterprise","Europe, North America",3000000,20000000,"GitLab, Docker, Confluent, Elastic","GitLab Series B, Docker Series A, Confluent Series C","MIT - MS Computer Science, Stanford - BS Computer Science","Palantir - CTO (2016-2020), Facebook - Engineering Manager (2013-2016)",contacted,"SaaS, DevTools, Infrastructure","Technical investor focused on developer tools and infrastructure. Values product-market fit and technical moats."
David,Rodriguez,drodriguez@kpcb.com,+1 (555) 345-6789,General Partner,Partner,Kleiner Perkins,VC,https://kleinerperkins.com,"Palo Alto, CA",https://linkedin.com/in/davidrodriguez,https://twitter.com/davidrodriguez,https://davidrodriguez.com,"General Partner at Kleiner Perkins with focus on EdTech and consumer technology. Former entrepreneur with two successful exits in education technology.","Seed, Series A, Series B","EdTech, Consumer, Enterprise, Mobile","North America, Latin America",2000000,15000000,"Coursera, Udemy, MasterClass, Duolingo","Coursera Series A, Udemy Seed, MasterClass Series B","Harvard Business School - MBA, Stanford - BS Engineering","Khan Academy - VP Product (2013-2017), Coursera - Co-founder (2011-2013)",cold,"EdTech, Consumer, Education","Education technology expert with operational experience. Looks for strong unit economics and user engagement."
James,Thompson,jthompson@accel.com,+44 20 7000 0000,Partner,Partner,Accel Partners,VC,https://accel.com,"London, UK",https://linkedin.com/in/jamesthompson,https://twitter.com/jamesthompson,,"Partner at Accel Partners focusing on European FinTech and B2B SaaS companies. Former Goldman Sachs investment banker with deep financial services expertise.","Series A, Series B, Series C","FinTech, SaaS, B2B, Financial Services","Europe, North America",5000000,30000000,"Revolut, Monzo, GoCardless, Deliveroo","Revolut Series C, Monzo Series B, GoCardless Series A","Oxford University - MA Economics, London Business School - MBA","Goldman Sachs - Investment Banking (2010-2016), Revolut - CFO (2016-2018)",warm,"FinTech, Europe, B2B","European FinTech specialist with strong financial background. Values regulatory compliance and market expansion strategies."
Alex,Kim,akim@foundersclub.com,+1 (555) 789-0123,Managing Partner,Partner,Founders Club,Angel Group,https://foundersclub.com,"New York, NY",https://linkedin.com/in/alexkim,https://twitter.com/alexkim,https://alexkim.com,"Managing Partner at Founders Club angel group. Serial entrepreneur with three successful exits. Active mentor and advisor to early-stage startups.","Pre-Seed, Seed, Series A","Consumer, Mobile, E-commerce, Social","North America",100000,2000000,"Instagram, WhatsApp, Snapchat, TikTok","Instagram Seed, WhatsApp Series A, Snapchat Seed","Wharton - MBA, NYU - BS Business","Facebook - VP Business Development (2012-2016), Instagram - Co-founder (2010-2012)",contacted,"Consumer, Mobile, Social, Angels","Consumer technology expert with strong network. Focuses on viral growth and user engagement metrics."
Maria,Gonzalez,mgonzalez@500startups.com,+1 (555) 890-1234,Partner,Partner,500 Startups,Accelerator,https://500.co,"San Francisco, CA",https://linkedin.com/in/mariagonzalez,https://twitter.com/mariagonzalez,,"Partner at 500 Startups focusing on Latin American expansion and diverse founder investments. Former McKinsey consultant with international business experience.","Pre-Seed, Seed","Consumer, E-commerce, FinTech, International","Latin America, North America",250000,1500000,"Canva, Twilio, Credit Karma, Grab","Canva Seed, Twilio Series A, Credit Karma Seed","Stanford Graduate School of Business - MBA, Universidad de Chile - BS Industrial Engineering","McKinsey & Company - Consultant (2014-2018), Uber - International Expansion (2018-2020)",warm,"International, Diversity, Latin America","International expansion specialist. Values diverse founding teams and global market opportunities."
Robert,Johnson,rjohnson@nea.com,+1 (555) 901-2345,General Partner,Partner,New Enterprise Associates,VC,https://nea.com,"Menlo Park, CA",https://linkedin.com/in/robertjohnson,https://twitter.com/robertjohnson,,"General Partner at NEA with focus on enterprise software and cybersecurity. Former enterprise software executive with deep industry relationships.","Series B, Series C, Growth","Enterprise, Cybersecurity, Infrastructure, B2B","North America",10000000,75000000,"Salesforce, Workday, Tableau, Splunk","Salesforce Series C, Workday Series B, Tableau Series A","Harvard Business School - MBA, Carnegie Mellon - BS Computer Science","Oracle - VP Sales (2008-2014), Salesforce - SVP Enterprise (2014-2018)",contacted,"Enterprise, Security, B2B","Enterprise software veteran with strong customer relationships. Values proven business models and scalable sales processes."
Jennifer,Lee,jlee@greylock.com,+1 (555) 012-3456,Partner,Partner,Greylock Partners,VC,https://greylock.com,"Palo Alto, CA",https://linkedin.com/in/jenniferlee,https://twitter.com/jenniferlee,https://jenniferlee.com,"Partner at Greylock Partners focusing on consumer internet and social platforms. Former Facebook executive with deep understanding of network effects and viral growth.","Series A, Series B","Consumer, Social, Mobile, Marketplace","North America, Asia Pacific",3000000,25000000,"Facebook, LinkedIn, Airbnb, Discord","Facebook Series A, LinkedIn Series B, Airbnb Series A","Stanford University - MS Computer Science, MIT - BS Computer Science","Facebook - VP Product (2011-2017), LinkedIn - Head of Growth (2009-2011)",hot,"Consumer, Social, Network Effects","Consumer internet expert with operational experience at scale. Focuses on network effects and viral growth mechanisms."
